id,customerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,FREQ_Tenure,FREQ_MonthlyCharges,FREQ_TotalCharges,charges_deviation,monthly_to_total_ratio,avg_monthly_charges,tenure_contract_ratio,has_PhoneService,has_MultipleLines,has_OnlineSecurity,has_OnlineBackup,has_DeviceProtection,has_TechSupport,has_StreamingTV,has_StreamingMovies,n_services,has_internet,has_streaming,has_security,service_ratio,charge_per_service,total_per_service,ORIG_proba_Gender,ORIG_proba_SeniorCitizen,ORIG_proba_Partner,ORIG_proba_Dependents,ORIG_proba_PhoneService,ORIG_proba_MultipleLines,ORIG_proba_InternetService,ORIG_proba_OnlineSecurity,ORIG_proba_OnlineBackup,ORIG_proba_DeviceProtection,ORIG_proba_TechSupport,ORIG_proba_StreamingTV,ORIG_proba_StreamingMovies,ORIG_proba_Contract,ORIG_proba_PaperlessBilling,ORIG_proba_PaymentMethod,ORIG_proba_Tenure,ORIG_proba_MonthlyCharges,ORIG_proba_TotalCharges,pctrank_churner_TC,pctrank_nonchurner_TC,pctrank_churn_gap_TC,zscore_churn_gap_TC,zscore_nonchurner_TC,resid_IS_MC,cond_pctrank_IS_TC,cond_pctrank_C_TC,dist_To_ch_q25,dist_To_nc_q25,qdist_gap_q25,dist_To_ch_q50,dist_To_nc_q50,qdist_gap_q50,dist_To_ch_q75,dist_To_nc_q75,qdist_gap_q75,tenure_first_digit,tenure_last_digit,tenure_mod10,tenure_mod12,tenure_num_digits,tenure_is_multiple_10,tenure_rounded_10,tenure_dev_from_round10,tenure_years,tenure_months_in_year,mc_first_digit,mc_last_digit,mc_mod10,mc_mod100,mc_num_digits,mc_is_multiple_10,mc_is_multiple_50,mc_rounded_10,mc_fractional,mc_dev_from_round10,mc_per_digit,tc_first_digit,tc_last_digit,tc_mod10,tc_mod100,tc_num_digits,tc_is_multiple_10,tc_is_multiple_100,tc_rounded_100,tc_fractional,tc_dev_from_round100,tc_per_digit,BG_Contract_InternetService,BG_Contract_PaymentMethod,BG_Contract_OnlineSecurity,BG_Contract_TechSupport,BG_Contract_PaperlessBilling,BG_InternetService_PaymentMethod,BG_InternetService_OnlineSecurity,BG_InternetService_TechSupport,BG_InternetService_PaperlessBilling,BG_PaymentMethod_OnlineSecurity,BG_PaymentMethod_TechSupport,BG_PaymentMethod_PaperlessBilling,BG_OnlineSecurity_TechSupport,BG_OnlineSecurity_PaperlessBilling,BG_TechSupport_PaperlessBilling,TG_Contract_InternetService_PaymentMethod,TG_Contract_InternetService_OnlineSecurity,TG_Contract_PaymentMethod_OnlineSecurity,TG_InternetService_PaymentMethod_OnlineSecurity,churn_probability,risk_level
437,4376-KFVRS,Male,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),114.05,8468.2,0.051398553,0.0002839699,7.099247e-05,256.6,0.013466443,116.00274,0.62581486,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,12.672222,940.91113,0.26438403,0.23695375,0.19897398,0.15187612,0.2679803,0.28786612,0.42086187,0.14417745,0.21587463,0.22792608,0.15160704,0.30537832,0.30049932,0.028697573,0.33803663,0.14921682,0.017123288,0.0,0.5,0.9993311,0.997584,0.0017471313,1.0981477,2.519719,22.382118,0.9983687,0.9970238,8323.85,7897.1,-426.7495,7727.9,6782.05,-945.8501,6099.475,4201.425,-1898.0503,7,2,2,0,2,0.0,70.0,2.0,6,0,1,5,4.0,14.0,3,0.0,0.0,110.0,0.04999999999999716,4.049999999999997,38.00399866711096,8,2,8.0,68.0,4,0.0,0.0,8500.0,0.2000000000007276,31.799999999999272,2116.520869782554,Two year_Fiber optic,Two year_Credit card (automatic),Two year_Yes,Two year_Yes,Two year_Yes,Fiber optic_Credit card (automatic),Fiber optic_Yes,Fiber optic_Yes,Fiber optic_Yes,Credit card (automatic)_Yes,Credit card (automatic)_Yes,Credit card (automatic)_Yes,Yes_Yes,Yes_Yes,Yes_Yes,Two year_Fiber optic_Credit card (automatic),Two year_Fiber optic_Yes,Two year_Credit card (automatic)_Yes,Fiber optic_Credit card (automatic)_Yes,0.11028044996783137,Low
2280,2754-SDJRD,Female,1,No,No,8,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),100.15,908.55,0.017464148,0.0011358795,7.099247e-05,107.35,0.1101094,100.95,0.07909046,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,0.625,16.691668,151.425,0.26633346,0.41086957,0.32771084,0.31352717,0.2679803,0.28786612,0.42086187,0.4193779,0.4013104,0.3895631,0.15160704,0.30537832,0.30049932,0.42746615,0.33803663,0.14921682,0.36633664,0.42857143,0.5,0.5464883,0.3343803,0.21210799,0.36308804,-0.7068874,8.482119,0.2903752,0.56662357,764.2,337.45,-426.75,168.25,777.6,609.35,1460.175,3358.225,1898.05,8,8,8,8,1,0.0,10.0,2.0,0,8,1,5,0.0,0.0,3,1.0,1.0,100.0,0.15000000000000568,0.15000000000000568,33.37220926357881,9,5,8.0,8.0,3,0.0,0.0,900.0,0.5499999999999545,8.549999999999955,302.74908363878706,Month-to-month_Fiber optic,Month-to-month_Credit card (automatic),Month-to-month_No,Month-to-month_Yes,Month-to-month_Yes,Fiber optic_Credit card (automatic),Fiber optic_No,Fiber optic_Yes,Fiber optic_Yes,Credit card (automatic)_No,Credit card (automatic)_Yes,Credit card (automatic)_Yes,No_Yes,No_Yes,Yes_Yes,Month-to-month_Fiber optic_Credit card (automatic),Month-to-month_Fiber optic_No,Month-to-month_Credit card (automatic)_No,Fiber optic_Credit card (automatic)_No,0.5277323499321938,High
2235,9917-KWRBE,Female,0,Yes,Yes,41,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),78.35,3211.2,0.009938947,0.00042595484,7.099247e-05,-1.15,0.024391383,76.457146,0.5166982,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,6.0,1.0,1.0,1.0,0.75,11.192857,458.74286,0.26633346,0.23695375,0.19897398,0.15187612,0.2679803,0.28786612,0.18688694,0.14417745,0.21587463,0.22792608,0.4175388,0.30537832,0.3360397,0.11082694,0.33803663,0.14921682,0.23636363,0.0,0.5,0.8247492,0.65716356,0.16758561,0.58698535,0.2759286,20.233995,0.7252066,0.6,3066.85,2640.1,-426.75,2470.9,1525.05,-945.84985,842.475,1055.575,213.09998,4,1,1,5,2,0.0,40.0,1.0,3,5,7,5,8.0,78.0,2,0.0,0.0,80.0,0.3499999999999943,1.6500000000000057,39.15542228885557,3,2,1.0,11.0,4,0.0,0.0,3200.0,0.1999999999998181,11.199999999999818,802.5993501624592,One year_DSL,One year_Credit card (automatic),One year_Yes,One year_No,One year_Yes,DSL_Credit card (automatic),DSL_Yes,DSL_No,DSL_Yes,Credit card (automatic)_Yes,Credit card (automatic)_No,Credit card (automatic)_Yes,Yes_No,Yes_Yes,No_Yes,One year_DSL_Credit card (automatic),One year_DSL_Yes,One year_Credit card (automatic)_Yes,DSL_Credit card (automatic)_Yes,0.14056050963699818,Low
4460,0365-GXEZS,Male,0,Yes,No,18,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,78.2,1468.75,0.01377254,0.0002839699,0.00014198494,61.15,0.05320633,77.302635,0.22727273,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,0.375,19.55,367.1875,0.26438403,0.23695375,0.19897398,0.31352717,0.2679803,0.25027934,0.42086187,0.4193779,0.4013104,0.22792608,0.15160704,0.33108714,0.3360397,0.42746615,0.1602258,0.45742995,0.25333333,0.0,0.5,0.658194,0.46412176,0.19407225,0.41755888,-0.46778312,-13.467881,0.3670473,0.6701164,1324.4,897.65,-426.75,728.45,217.4,-511.05002,899.975,2798.025,1898.0499,1,8,8,6,2,0.0,20.0,2.0,1,6,7,2,8.0,78.0,2,0.0,0.0,80.0,0.20000000000000284,1.7999999999999972,39.08045977011495,1,5,8.0,68.0,4,0.0,0.0,1500.0,0.75,31.25,367.09572606848286,Month-to-month_Fiber optic,Month-to-month_Electronic check,Month-to-month_No,Month-to-month_Yes,Month-to-month_No,Fiber optic_Electronic check,Fiber optic_No,Fiber optic_Yes,Fiber optic_No,Electronic check_No,Electronic check_Yes,Electronic check_No,No_Yes,No_No,Yes_No,Month-to-month_Fiber optic_Electronic check,Month-to-month_Fiber optic_No,Month-to-month_Electronic check_No,Fiber optic_Electronic check_No,0.36322567611932755,Medium
3761,9385-NXKDA,Female,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),82.65,5919.35,0.051398553,0.00042595484,7.099247e-05,-31.45,0.013960323,81.08698,0.8607292,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,7.0,1.0,1.0,1.0,0.875,10.33125,739.91876,0.26633346,0.23695375,0.19897398,0.31352717,0.2679803,0.28786612,0.18688694,0.14417745,0.21587463,0.22792608,0.4175388,0.30537832,0.30049932,0.028697573,0.33803663,0.14921682,0.017123288,0.0,0.5,0.95117056,0.8738826,0.07728797,0.8503113,1.4318199,24.533997,0.9586777,0.7291667,5775.0,5348.25,-426.75,5179.05,4233.2,-945.8496,3550.625,1652.575,-1898.05,7,2,2,0,2,0.0,70.0,2.0,6,0,8,5,2.0,82.0,2,0.0,0.0,80.0,0.6500000000000057,2.6500000000000057,41.30434782608696,5,5,9.0,19.0,4,0.0,0.0,5900.0,0.3500000000003638,19.350000000000364,1479.467633091727,Two year_DSL,Two year_Credit card (automatic),Two year_Yes,Two year_No,Two year_Yes,DSL_Credit card (automatic),DSL_Yes,DSL_No,DSL_Yes,Credit card (automatic)_Yes,Credit card (automatic)_No,Credit card (automatic)_Yes,Yes_No,Yes_Yes,No_Yes,Two year_DSL_Credit card (automatic),Two year_DSL_Yes,Two year_Credit card (automatic)_Yes,DSL_Credit card (automatic)_Yes,0.1031217643758282,Low
5748,4686-UXDML,Female,0,No,No,21,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.85,1992.55,0.008945052,0.00070992473,7.099247e-05,-104.3,0.050086528,90.57046,0.20823005,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,0.0,0.625,16.641666,332.09167,0.26633346,0.23695375,0.32771084,0.31352717,0.2679803,0.28786612,0.42086187,0.4193779,0.21587463,0.3895631,0.4175388,0.30537832,0.30049932,0.42746615,0.33803663,0.14921682,0.33333334,0.75,0.5,0.709699,0.546992,0.16270697,0.46849036,-0.24421506,8.182118,0.44698206,0.7477361,1848.2,1421.45,-426.75,1252.25,306.4,-945.85,376.175,2274.225,1898.05,2,1,1,9,2,0.0,20.0,1.0,1,9,9,5,9.0,99.0,2,0.0,0.0,100.0,0.8499999999999943,0.15000000000000568,49.90004997501249,1,5,2.0,92.0,4,0.0,0.0,2000.0,0.5499999999999545,7.4500000000000455,498.01299675081225,Month-to-month_Fiber optic,Month-to-month_Credit card (automatic),Month-to-month_No,Month-to-month_No,Month-to-month_Yes,Fiber optic_Credit card (automatic),Fiber optic_No,Fiber optic_No,Fiber optic_Yes,Credit card (automatic)_No,Credit card (automatic)_No,Credit card (automatic)_Yes,No_No,No_Yes,No_Yes,Month-to-month_Fiber optic_Credit card (automatic),Month-to-month_Fiber optic_No,Month-to-month_Credit card (automatic)_No,Fiber optic_Credit card (automatic)_No,0.4232041221112013,Medium
3568,2227-JRSJX,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),99.15,1956.4,0.008945052,0.0011358795,7.099247e-05,-125.75,0.050653927,88.92727,0.20968547,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,0.625,16.525,326.06668,0.26633346,0.23695375,0.32771084,0.31352717,0.2679803,0.25027934,0.42086187,0.4193779,0.21587463,0.3895631,0.15160704,0.30537832,0.30049932,0.42746615,0.33803663,0.16157556,0.33333334,0.33333334,0.5,0.7076923,0.543368,0.16432434,0.46497533,-0.25964457,7.4821186,0.44371942,0.74256146,1812.05,1385.3,-426.75,1216.1,270.25,-945.85,412.325,2310.375,1898.05,2,1,1,9,2,0.0,20.0,1.0,1,9,9,5,9.0,99.0,2,0.0,0.0,100.0,0.15000000000000568,0.8499999999999943,49.550224887556226,1,4,6.0,56.0,4,0.0,0.0,2000.0,0.40000000000009095,43.59999999999991,488.9777555611097,Month-to-month_Fiber optic,Month-to-month_Bank transfer (automatic),Month-to-month_No,Month-to-month_Yes,Month-to-month_Yes,Fiber optic_Bank transfer (automatic),Fiber optic_No,Fiber optic_Yes,Fiber optic_Yes,Bank transfer (automatic)_No,Bank transfer (automatic)_Yes,Bank transfer (automatic)_Yes,No_Yes,No_Yes,Yes_Yes,Month-to-month_Fiber optic_Bank transfer (automatic),Month-to-month_Fiber optic_No,Month-to-month_Bank transfer (automatic)_No,Fiber optic_Bank transfer (automatic)_No,0.3343877326697111,Medium
2976,4830-FAXFM,Male,0,No,Yes,19,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),24.1,439.2,0.010364901,0.0011358795,7.099247e-05,-18.7,0.054747842,21.96,0.75697213,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.25,8.033334,146.4,0.26438403,0.23695375,0.32771084,0.15187612,0.2679803,0.28786612,0.072487645,0.072487645,0.072487645,0.072487645,0.072487645,0.072487645,0.072487645,0.42746615,0.33803663,0.14921682,0.30769232,0.33333334,0.5,0.41070235,0.2104373,0.20026505,0.31745097,-0.9072152,2.9852142,0.44230768,0.42043984,294.85,131.9,-162.95001,301.1,1246.95,945.85,1929.525,3827.575,1898.0499,1,9,9,7,2,0.0,20.0,1.0,1,7,2,1,4.0,24.0,2,0.0,0.0,20.0,0.10000000000000142,4.100000000000001,12.043978010994504,4,2,9.0,39.0,3,0.0,0.0,400.0,0.19999999999998863,39.19999999999999,146.35121626124626,Month-to-month_No,Month-to-month_Credit card (automatic),Month-to-month_No internet service,Month-to-month_No internet service,Month-to-month_Yes,No_Credit card (automatic),No_No internet service,No_No internet service,No_Yes,Credit card (automatic)_No internet service,Credit card (automatic)_No internet service,Credit card (automatic)_Yes,No internet service_No internet service,No internet service_Yes,No internet service_Yes,Month-to-month_No_Credit card (automatic),Month-to-month_No_No internet service,Month-to-month_Credit card (automatic)_No internet service,No_Credit card (automatic)_No internet service,0.1710615325719118,Low
5928,1830-IPXVJ,Female,0,Yes,Yes,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.75,1311.6,0.010790857,0.005537413,7.099247e-05,106.85,0.015046473,21.154839,2.939759,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.125,9.875,655.8,0.26633346,0.23695375,0.19897398,0.15187612,0.2679803,0.25027934,0.072487645,0.072487645,0.072487645,0.072487645,0.072487645,0.072487645,0.072487645,0.028697573,0.1602258,0.14921682,0.08163265,0.1923077,0.5,0.63344485,0.42908916,0.20435569,0.40227845,-0.5348578,-1.3647858,0.8108974,0.2559524,1167.25,740.5,-426.75,571.3,374.55,-196.75,1057.125,2955.175,1898.05,6,1,1,1,2,0.0,60.0,1.0,5,1,1,5,9.0,19.0,2,0.0,0.0,20.0,0.75,0.25,9.870064967516242,1,6,1.0,11.0,4,0.0,0.0,1300.0,0.599999999999909,11.599999999999909,327.8180454886278,Two year_No,Two year_Credit card (automatic),Two year_No internet service,Two year_No internet service,Two year_No,No_Credit card (automatic),No_No internet service,No_No internet service,No_No,Credit card (automatic)_No internet service,Credit card (automatic)_No internet service,Credit card (automatic)_No,No internet service_No internet service,No internet service_No,No internet service_No,Two year_No_Credit card (automatic),Two year_No_No internet service,Two year_Credit card (automatic)_No internet service,No_Credit card (automatic)_No internet service,0.10098368994658813,Low
1639,4690-LLKUA,Male,1,No,No,17,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.05,770.6,0.012352691,0.0009938946,7.099247e-05,4.75,0.058385175,42.81111,0.36916396,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.125,22.525,385.3,0.26438403,0.41086957,0.32771084,0.31352717,0.2679803,0.25027934,0.18688694,0.4193779,0.4013104,0.3895631,0.4175388,0.33108714,0.3360397,0.42746615,0.33803663,0.45742995,0.27027026,0.4,0.5,0.5090301,0.29983088,0.20919922,0.34967452,-0.76576716,-13.066004,0.34710744,0.5355757,626.25,199.5,-426.75,30.3,915.55,885.25,1598.125,3496.175,1898.05,1,7,7,5,2,0.0,20.0,3.0,1,5,4,5,5.0,45.0,2,0.0,0.0,50.0,0.04999999999999716,4.950000000000003,22.51374312843578,7,6,0.0,70.0,3,1.0,0.0,800.0,0.6000000000000227,29.399999999999977,256.7810729756748,Month-to-month_DSL,Month-to-month_Electronic check,Month-to-month_No,Month-to-month_No,Month-to-month_Yes,DSL_Electronic check,DSL_No,DSL_No,DSL_Yes,Electronic check_No,Electronic check_No,Electronic check_Yes,No_No,No_Yes,No_Yes,Month-to-month_DSL_Electronic check,Month-to-month_DSL_No,Month-to-month_Electronic check_No,DSL_Electronic check_No,0.31860223039984703,Medium
